,channel_name,published_date,view_count,video_length,video_url,title
59,PeresCenter,2023-03-14T16:35:42Z,43,PT3M58S,https://www.youtube.com/watch?v=R9dloOgS-p0,רבקה מיכאלי 🛡️ אבירת מרכז לשלום ולחדשנות 2023
60,PeresCenter,2023-03-14T16:34:16Z,54,PT5M56S,https://www.youtube.com/watch?v=rldfvca0El8,"ד""ר רונית אלמוג 🛡️ אבירת מרכז לשלום ולחדשנות 2023"
61,PeresCenter,2023-03-14T16:31:01Z,123,PT5M45S,https://www.youtube.com/watch?v=a5_txnbPN0M,אילה פרוקצ'יה 🛡️ אבירת הצדק - מרכז לשלום ולחדשנות 2023
62,PeresCenter,2023-03-14T16:32:34Z,107,PT3M41S,https://www.youtube.com/watch?v=67agsjqDpCc,טפסר רחל פיסם 🛡️ אבירת מרכז לשלום ולחדשנות 2023
63,PeresCenter,2023-03-14T16:29:21Z,182,PT5M22S,https://www.youtube.com/watch?v=2aiA5jY8XZE,מורן זר קצנשטיין 🛡️ אבירת מרכז לשלום ולחדשנות 2023
64,PeresCenter,2023-03-14T16:26:51Z,81,PT3M9S,https://www.youtube.com/watch?v=9CamvSUpx8I,אשרת עיני 🛡️ אבירת מרכז לשלום ולחדשנות 2023
65,PeresCenter,2023-03-14T16:28:10Z,69,PT3M20S,https://www.youtube.com/watch?v=XenGpyC2AAA,איריס שור 🛡️ אבירת מרכז לשלום ולחדשנות 2023
66,PeresCenter,2023-03-14T16:25:41Z,252,PT3M24S,https://www.youtube.com/watch?v=pVhDCGiInwY,דנה אינטרנשיונל 🛡️ אבירת-עד מרכז לשלום ולחדשנות 2023
67,PeresCenter,2023-03-14T11:56:08Z,85,PT3M58S,https://www.youtube.com/watch?v=tqPGOu4v90w,רבקה מיכאלי - אבירת מרכז פרס לשלום ולחדשנות 2023
68,PeresCenter,2023-01-22T09:42:50Z,108,PT2M43S,https://www.youtube.com/watch?v=mABuBqZZQxA,Starting Up Together -  Innovation Conference | Jordan 2022
69,PeresCenter,2023-01-22T09:40:43Z,67,PT1M41S,https://www.youtube.com/watch?v=lgSyBWBR4g0,Starting Up Together 4th cohort 2022
70,PeresCenter,2023-01-15T12:38:03Z,121,PT1M6S,https://www.youtube.com/watch?v=7ZjqXbcaYYY,Peres Center Online Experience
71,PeresCenter,2023-01-15T09:20:42Z,31,PT1M16S,https://www.youtube.com/watch?v=RS3mKGwRfoY,Sport is more than a game | ספורט זה הרבה יותר ממשחק | الرياضة أكثر بكثير من مجرد لعبة!
72,PeresCenter,2022-12-13T09:14:34Z,162,PT39S,https://www.youtube.com/watch?v=PO9V8p6pnoI,נשים יוצרות חדשנות
73,PeresCenter,2022-09-10T19:15:55Z,284,PT1M11S,https://www.youtube.com/watch?v=5N7eHX97Dys,Queen Elizabeth II Knights President Shimon Peres
74,PeresCenter,2022-06-23T11:52:06Z,129,PT15M42S,https://www.youtube.com/watch?v=i-bJu9pYC_s,מי פתח לך את הדלת? ההזדמנות הראשונה של היזמים המובילים בישראל
75,PeresCenter,2022-06-13T12:36:24Z,616,PT50M8S,https://www.youtube.com/watch?v=EJJjn_QyXWo,בעינינו ראינו - המסע של רונן ברגמן וזיו קורן לסיקור המלחמה באוקראינה | מרכז פרס לשלום ולחדשנות
76,PeresCenter,2022-05-03T12:15:05Z,189,PT53M58S,https://www.youtube.com/watch?v=_Fug3L2h3qg,"לחבק את החיים וליצוק לתוכם משמעות - שיחה עם מנואלה דבירי על בנה יוני ז""ל שנפל בקרב בלבנון"
77,PeresCenter,2021-11-23T10:22:10Z,87,PT4M18S,https://www.youtube.com/watch?v=DE2tvH43IhU,"PLAYING FAIR, LEADING PEACE 2021-2022 – Student Training Seminar"
78,PeresCenter,2021-11-21T12:11:20Z,105,PT4M18S,https://www.youtube.com/watch?v=qxfRtC47Tdo,"משחקים הוגן, מובילים שלום – סמינר סטודנטים  اللعب العادل، قيادة نحو السلام - ندوة تدريبية للطلاب"
79,PeresCenter,2021-10-06T07:13:54Z,47,PT16S,https://www.youtube.com/watch?v=uvepo2FfT8g,#פרס_ואני - מה הזיכרון שלך משמעון פרס?
80,PeresCenter,2021-10-06T07:09:13Z,120,PT3M50S,https://www.youtube.com/watch?v=1iuZY4Rk780,"5 שנים לפטירתו של הנשיא שמעון פרס - פרופ' צביה ולדן, בתו של הנשיא שמעון פרס"
81,PeresCenter,2021-10-06T07:07:11Z,74,PT10M17S,https://www.youtube.com/watch?v=p4JHsohQWNk,"5 שנים לפטירתו של שמעון פרס - חמי פרס, בנו של הנשיא פרס ויו""ר מרכז פרס לשלום ולחדשנות"
82,PeresCenter,2021-10-06T07:04:41Z,78,PT5M16S,https://www.youtube.com/watch?v=iOvs5cp3Kic,"5 שנים לפטירתו של שמעון פרס ז""ל - ציפי כהן גונן - ילדת אנטבה"
83,PeresCenter,2021-10-06T07:03:04Z,17,PT7M23S,https://www.youtube.com/watch?v=gcAAn2MzfU4,"5 שנים לפטירתו של שמעון פרס ז""ל - נאום ראש הממשלה נפתלי בנט"
84,PeresCenter,2021-10-06T07:01:46Z,26,PT8M34S,https://www.youtube.com/watch?v=y__-178abGg,"5 שנים לפטירתו של שמעון פרס ז""ל - נאום הנשיא יצחק הרצוג"
85,PeresCenter,2021-09-01T06:50:55Z,214,PT1M59S,https://www.youtube.com/watch?v=o14zLdiyF1g,גגות ירוקים Under the same Green Roof  - בני נוער יהודים וערבים למען קיימות וחיים משותפים
86,PeresCenter,2021-08-08T08:34:22Z,26,PT19M6S,https://www.youtube.com/watch?v=Grn3BG18-uU,Peres Center Children chat with Soccer Legend Ander Herrera - ילדי מרכז פרס בשיחה עם אנדר הררה
87,PeresCenter,2021-08-04T05:35:17Z,77,PT1H1M27S,https://www.youtube.com/watch?v=06GCIS5uiYg,NETwalking   - מפגש של יובל קמינקא מייסד ג'ויטיונז עם יזמים.יות בתחילת דרכם
88,PeresCenter,2021-07-18T10:53:05Z,48,PT2M58S,https://www.youtube.com/watch?v=fZEIcIv2cFA,"מועדון הכדורגל האגדי של צ'לסי מצטרף כשותף לפרויקט - משחקים הוגן, מובילים שלום"
89,PeresCenter,2021-07-13T11:41:28Z,104,PT58M7S,https://www.youtube.com/watch?v=jBg4hj9Xy_s,שישי עדכני - רב אלוף (במיל') גדי איזנקוט בשיחה עם יואב לימור
90,PeresCenter,2021-07-13T11:29:37Z,367,PT11M51S,https://www.youtube.com/watch?v=mnH7AlFc2vY,45 שנה למבצע יונתן - פרופ'' צביה (ציקי) ולדן ודליה רבין
91,PeresCenter,2021-07-13T11:27:48Z,27,PT3M8S,https://www.youtube.com/watch?v=k-QuIgV1BfE,45 שנה למבצע אנטבה - סיפורה המרגש של החטופה ציפורה גונן
92,PeresCenter,2021-07-13T11:26:10Z,12851,PT29M3S,https://www.youtube.com/watch?v=sAmuLzWUfgA,45 שנה למבצע יונתן - מאחורי הקלעים עם אהוד ברק
93,PeresCenter,2021-07-13T11:24:42Z,404,PT10M17S,https://www.youtube.com/watch?v=ARHmabrlNJ8,45 שנה למבצע יונתן - נווט חיל האוויר צבי הר-נבו
94,PeresCenter,2021-07-13T11:19:15Z,450,PT5M29S,https://www.youtube.com/watch?v=BKarDbJla6o,45  שנה למבצע יונתן - שי גרוס - הילד הצעיר מחטופי אנטבה
95,PeresCenter,2021-07-07T09:14:04Z,30,PT6M41S,https://www.youtube.com/watch?v=a8HOnMzvzlE,מיני מונדיאל 2020 | Mini Mondial 2020 | ميني منديال 2020
96,PeresCenter,2021-07-06T10:04:24Z,57,PT13M17S,https://www.youtube.com/watch?v=udTh6o6jEuk,נשים יוצרות חדשנות - שרת הכלכלה והתעשייה אורנה ברביבאי
97,PeresCenter,2021-07-06T07:21:18Z,0,P0D,https://www.youtube.com/watch?v=1GnhOxvda_U,נשים יוצרות חדשנות - שידור חי ממרכז פרס לשלום ולחדשנות
98,PeresCenter,2021-07-06T06:55:33Z,9,PT12S,https://www.youtube.com/watch?v=o2aYEEuzoi0,PeresCenter Live Stream
99,PeresCenter,2021-07-01T11:20:22Z,1627,PT10M53S,https://www.youtube.com/watch?v=QIuTO1k06OI,45 שנה למבצע אנטבה - דורון אלמוג
100,BNN - Mt. Juliet High School,2023-12-08T18:45:25Z,86,PT3M35S,https://www.youtube.com/watch?v=qvpjm3sOuhw,2023 12 08 Friday BNN
101,BNN - Mt. Juliet High School,2023-12-08T15:40:12Z,134,PT1H23M7S,https://www.youtube.com/watch?v=WByVHznTZDw,Mount Juliet High School vs Father Ryan High School Mens Varsity Basketball
102,BNN - Mt. Juliet High School,2023-12-07T19:25:56Z,100,PT4M15S,https://www.youtube.com/watch?v=sMvM60z2vxU,2023 12 07 Thursday BNN
103,BNN - Mt. Juliet High School,2023-12-07T15:04:14Z,97,PT1H28M48S,https://www.youtube.com/watch?v=K81qQTjqEh8,Freshman Lebanon vs Mt. Juliet
104,BNN - Mt. Juliet High School,2023-12-06T14:41:21Z,595,PT1H36M46S,https://www.youtube.com/watch?v=IM0goUXIRZw,Mt. Juliet High School Christmas Spectacular
105,BNN - Mt. Juliet High School,2023-12-06T00:05:44Z,19,PT47S,https://www.youtube.com/watch?v=uK_GFRfraEQ,test
106,BNN - Mt. Juliet High School,2023-12-05T19:12:29Z,110,PT2M59S,https://www.youtube.com/watch?v=-c84TeHoPlQ,2023 12 05 Tuesday BNN
107,BNN - Mt. Juliet High School,2023-12-04T19:23:40Z,66,PT4M29S,https://www.youtube.com/watch?v=oQX8BB5G670,2023 12 04 Monday BNN
108,BNN - Mt. Juliet High School,2023-12-02T20:24:13Z,198,PT19M13S,https://www.youtube.com/watch?v=9Q-343L1HyU,Mt  Juliet High School MCJROTC Drill Meet 2023 12 02
109,BNN - Mt. Juliet High School,2023-11-17T18:20:18Z,426,PT40M24S,https://www.youtube.com/watch?v=tkzLmQGL2PQ,2023 MJHS MCJROTC Birthday Ball
110,BNN - Mt. Juliet High School,2023-11-16T02:26:25Z,158,PT7M33S,https://www.youtube.com/watch?v=bUnZ8TkENUU,Roman Petricca signs with Vanderbilt University
111,BNN - Mt. Juliet High School,2023-11-09T19:11:09Z,356,PT4M20S,https://www.youtube.com/watch?v=d4LQVmNY_QI,2023 11 09 Thursday BNN
112,BNN - Mt. Juliet High School,2023-09-22T12:59:07Z,107,PT47M43S,https://www.youtube.com/watch?v=OlnQT8nTMd4,Mount Juliet High School vs Watertown High School Womens Varsity Volleyball
113,BNN - Mt. Juliet High School,2023-05-20T13:55:00Z,2024,PT1H19M36S,https://www.youtube.com/watch?v=ZsOMMYLxNnA,2023 Mt. Juliet High School Graduation
114,BNN - Mt. Juliet High School,2023-05-20T01:00:00Z,23,PT2M7S,https://www.youtube.com/watch?v=22r_YG6omsA,MJHS Girls Soccer Class of 2023
115,BNN - Mt. Juliet High School,2023-05-12T01:03:24Z,176,PT4M36S,https://www.youtube.com/watch?v=sL65D7j_1V0,Paisley Premo signs with Vanderbilt University for dance
116,BNN - Mt. Juliet High School,2023-05-11T20:32:22Z,130,PT5M23S,https://www.youtube.com/watch?v=hlPQGRfW0Ac,Abby Schwarz signs with Freed Hardeman University for soccer
117,BNN - Mt. Juliet High School,2023-05-07T16:54:32Z,191,PT6M14S,https://www.youtube.com/watch?v=_ajlHovOoPs,DeAirrus Morton signs with Cumberland University for football
118,BNN - Mt. Juliet High School,2023-05-07T01:44:28Z,231,PT5M39S,https://www.youtube.com/watch?v=lGERXmo2qk0,Cody Shepherd signs with Lindsey Wilson College for soccer
119,BNN - Mt. Juliet High School,2023-05-06T00:43:32Z,232,PT1H6M12S,https://www.youtube.com/watch?v=hd24ZaPtweg,2023 Golden Bear Awards
120,BNN - Mt. Juliet High School,2023-05-04T18:35:19Z,182,PT2M52S,https://www.youtube.com/watch?v=8b1ojYr9HUc,2023 05 04 Thursday BNN
121,BNN - Mt. Juliet High School,2023-05-03T18:14:07Z,169,PT3M58S,https://www.youtube.com/watch?v=fTIPO2idYeA,2023 05 03 Wednesday BNN
122,BNN - Mt. Juliet High School,2023-05-02T16:58:05Z,139,PT2M52S,https://www.youtube.com/watch?v=xHpjF5b2Z-c,2023 05 02 Tuesday BNN
123,BNN - Mt. Juliet High School,2023-05-01T17:05:07Z,152,PT3M26S,https://www.youtube.com/watch?v=ng6YMCOxaNM,2023 05 01 Monday BNN
124,BNN - Mt. Juliet High School,2023-05-01T00:53:48Z,91,PT5M56S,https://www.youtube.com/watch?v=UJ455-Fredc,Andrew Moore signs with Maryville College
125,BNN - Mt. Juliet High School,2023-04-26T01:08:39Z,108,PT4M51S,https://www.youtube.com/watch?v=oynMt7S_LmI,Ava Drizos signs with Upper Iowa for Soccer
126,BNN - Mt. Juliet High School,2023-04-24T18:28:55Z,135,PT4M46S,https://www.youtube.com/watch?v=Qw-ilckN8EM,2023 04 24 Monday BNN
127,BNN - Mt. Juliet High School,2023-04-23T19:58:33Z,373,PT5M21S,https://www.youtube.com/watch?v=IZUeL81F1Jk,Ali Cole signs with Cumberland University for soccer
128,BNN - Mt. Juliet High School,2023-04-22T20:47:52Z,151,PT2M37S,https://www.youtube.com/watch?v=FjfGWJye9nA,Class of 2023 Golden Bears talk about why they're enlisting
129,BNN - Mt. Juliet High School,2023-04-20T23:13:05Z,185,PT4M9S,https://www.youtube.com/watch?v=yC7oN4fKL5E,2023 MJHS Military Oath of Enlistment
130,BNN - Mt. Juliet High School,2023-04-19T18:38:29Z,97,PT3M48S,https://www.youtube.com/watch?v=LtoK8vCRVFw,2023 04 19 Wednesday BNN
131,BNN - Mt. Juliet High School,2023-04-05T18:28:54Z,205,PT5M18S,https://www.youtube.com/watch?v=kowfjjp5wBc,2023 04 05 Wednesday BNN
132,BNN - Mt. Juliet High School,2023-04-03T18:22:04Z,136,PT4M28S,https://www.youtube.com/watch?v=vet4V6EUWUw,2023 04 03 Monday BNN
133,BNN - Mt. Juliet High School,2023-03-29T17:52:26Z,144,PT4M2S,https://www.youtube.com/watch?v=ZWu27zGdaVk,2023 03 29 Wednesday BNN
134,BNN - Mt. Juliet High School,2023-03-24T17:56:14Z,172,PT4M28S,https://www.youtube.com/watch?v=WSOIQ2IXys8,2023-03-24 Friday BNN
135,BNN - Mt. Juliet High School,2023-03-20T18:23:58Z,104,PT2M42S,https://www.youtube.com/watch?v=96adZFd4lQI,2023-03-20 Monday BNN
136,BNN - Mt. Juliet High School,2023-03-14T18:40:48Z,139,PT5M,https://www.youtube.com/watch?v=-MMefhRZv6E,2023 03 14 Tuesday BNN
137,BNN - Mt. Juliet High School,2023-02-27T19:39:29Z,142,PT3M7S,https://www.youtube.com/watch?v=PES44438hzc,2023 02 27 Monday BNN
138,BNN - Mt. Juliet High School,2023-02-22T19:31:56Z,104,PT2M42S,https://www.youtube.com/watch?v=UYUlcJlgmjo,2023 02 22 Wednesday BNN
139,BNN - Mt. Juliet High School,2023-02-16T19:28:10Z,418,PT4M53S,https://www.youtube.com/watch?v=XgVJMm1h1dE,Romario Borno signs with John Melvin University
140,BNN - Mt. Juliet High School,2023-02-16T18:43:18Z,159,PT3M47S,https://www.youtube.com/watch?v=YRbVp23ZNiY,Kayley Jones signs with Huntingdon College
141,BNN - Mt. Juliet High School,2023-02-16T18:14:02Z,144,PT3M38S,https://www.youtube.com/watch?v=bx5ve4OwK7I,McKenzie Fitzgerald signs with Milligan University
142,BNN - Mt. Juliet High School,2023-02-16T18:05:41Z,149,PT2M36S,https://www.youtube.com/watch?v=XI20tiEFX0E,Amanda Hatfield signs with Cleveland State Community College
143,BNN - Mt. Juliet High School,2023-02-16T17:43:14Z,389,PT5M29S,https://www.youtube.com/watch?v=PQ17G_HKkXg,Osize Daniyan signs with Yale University
144,BNN - Mt. Juliet High School,2023-02-15T19:34:00Z,203,PT4M3S,https://www.youtube.com/watch?v=t0DqH6P1Ny0,Maston Kimbrough signs with Georgetown University
145,BNN - Mt. Juliet High School,2023-02-15T18:57:41Z,141,PT3M36S,https://www.youtube.com/watch?v=l-SIDDJf2Go,Ryan McWilliams signs with University of Pikeville
146,BNN - Mt. Juliet High School,2023-02-14T03:20:56Z,328,PT1H25M1S,https://www.youtube.com/watch?v=qHQQJlbYVRo,MJHS Boys Basketball vs. Wilson Central
147,BNN - Mt. Juliet High School,2023-02-14T01:42:45Z,179,PT1H29M54S,https://www.youtube.com/watch?v=cX0mcNnPCmg,MJHS Girls Basketball vs. Wilson Central
148,BNN - Mt. Juliet High School,2023-02-13T19:14:06Z,113,PT2M51S,https://www.youtube.com/watch?v=QnmAdquGr2w,2023 02 13 Monday BNN
149,BNN - Mt. Juliet High School,2023-02-11T03:37:33Z,780,PT1H36M11S,https://www.youtube.com/watch?v=QhnwXk97zjE,MJHS Boys Basketball vs. Green Hill
150,The John Carroll School Official Channel,2023-12-09T04:00:22Z,79,PT49M25S,https://www.youtube.com/watch?v=lCsYcKilPl8,"Immaculate Conception Mass- December 8, 2023"
151,The John Carroll School Official Channel,2023-12-07T13:55:08Z,470,PT1H31M44S,https://www.youtube.com/watch?v=S00WnQuB5CM,John Carroll High School vs St. Frances Academy Mens Varsity Basketball
152,The John Carroll School Official Channel,2023-12-07T12:33:38Z,362,PT1H53M50S,https://www.youtube.com/watch?v=AUjENveYGaw,John Carroll vs St. Frances Academy Boys' Junior Varsity Basketball
153,The John Carroll School Official Channel,2023-12-02T14:44:33Z,925,PT1H51M31S,https://www.youtube.com/watch?v=ss2TwUkt6SQ,John Carroll High School vs Loyola Blakefield  Mens Varsity Basketball
