,channel_name,published_date,view_count,video_length,video_url,title,label
33,WFLA News Channel 8,2023-12-07T04:21:50Z,892,PT2M19S,https://www.youtube.com/watch?v=X7yks-fUyRk,14-year-old boy charged with murder in Ybor City mass shooting: TPD,
40,WFLA News Channel 8,2023-12-06T21:45:44Z,872,PT2M16S,https://www.youtube.com/watch?v=R3JElb9ujt8,Man accused of trying to kill Hillsborough Deputies ruled incompetent to stand trial,
231,WVTM 13 News,2023-12-07T03:59:55Z,860,PT2M31S,https://www.youtube.com/watch?v=b9Ivp-UGQPQ,Alabama GOP Chairman John Wahl on the 4th GOP presidential primary debate,
6,WFLA News Channel 8,2023-12-08T22:39:53Z,851,PT3M12S,https://www.youtube.com/watch?v=wa9GZGlJHsc,'Criminals are ahead of the laws': Some question why broker who pleaded guilty to fraud still has li,
204,WVTM 13 News,2023-12-09T04:33:26Z,838,PT3M5S,https://www.youtube.com/watch?v=bD5kAEAhPeE,"Alabama Impact Day: rain, wind, and a few severe storms in the weekend forecast",
7,WFLA News Channel 8,2023-12-08T22:12:57Z,821,PT2M31S,https://www.youtube.com/watch?v=P1-tEZIHDQo,Tampa Hard Rock Casino debuts new games including in-person sports betting,
49,WFLA News Channel 8,2023-12-05T22:23:18Z,813,PT2M11S,https://www.youtube.com/watch?v=kqPv4bsS_NQ,Potential name change for the Tampa Bay Rays?,
28,WFLA News Channel 8,2023-12-07T13:22:31Z,799,PT3M3S,https://www.youtube.com/watch?v=061NfC6Sv_A,Families set up early for annual Lakeland Christmas Parade,
23,WFLA News Channel 8,2023-12-07T16:27:08Z,756,PT3M6S,https://www.youtube.com/watch?v=8Z44IWQfBv8,"Grieving father pushes for change after teen struck, killed by bus",
202,WVTM 13 News,2023-12-09T22:24:11Z,732,PT4M5S,https://www.youtube.com/watch?v=7XbfutqT3vY,Alert Day: severe storms with tornadoes possible Saturday night across Alabama,
38,WFLA News Channel 8,2023-12-06T22:33:15Z,710,PT3M47S,https://www.youtube.com/watch?v=tV-4n92_zzM,Pool company tells customers it plans to file for bankruptcy; 60 pools unfinished,
122,News 19 WLTX,2023-12-08T04:45:12Z,704,PT28S,https://www.youtube.com/watch?v=Ev51pRy_1y8,War between Israel and Hamas is now entering its third month of fighting,
117,News 19 WLTX,2023-12-08T22:20:50Z,682,PT2M52S,https://www.youtube.com/watch?v=wHGUADxh79E,Man found guilty in death during deadly riot at South County state prison,
142,News 19 WLTX,2023-12-07T23:07:25Z,665,PT2M44S,https://www.youtube.com/watch?v=3VLEenKwRrM,Michael Juan Smith takes stand in his own defense on Thursday,
20,WFLA News Channel 8,2023-12-07T21:46:34Z,625,PT1M26S,https://www.youtube.com/watch?v=b1IBHIrP_cc,Godwin clears the air,
212,WVTM 13 News,2023-12-08T22:34:59Z,610,PT1M21S,https://www.youtube.com/watch?v=VrYPe__ISGI,"Pregnant Bibb County teacher killed, her twin boys injured in crash with tractor-trailer",
220,WVTM 13 News,2023-12-08T04:50:57Z,608,PT2M12S,https://www.youtube.com/watch?v=QHprt8w-dPM,'We will not stop' Attorney working to clear name of handcuffed man stunned by Reform police officer,
10,WFLA News Channel 8,2023-12-08T21:26:22Z,594,PT2M21S,https://www.youtube.com/watch?v=iOiJ7_6MZIk,Suspects charged in Ybor mass shooting denied bond,
18,WFLA News Channel 8,2023-12-07T22:33:45Z,585,PT3M6S,https://www.youtube.com/watch?v=PvPYwr-e_5U,Real estate broker's license still good after pleading guilty to scheme to steal homes,
46,WFLA News Channel 8,2023-12-05T23:12:49Z,569,PT2M3S,https://www.youtube.com/watch?v=xMC9tQ4pPQ8,Residents upset Menorah is missing from Hyde Park Village holiday display,
242,WVTM 13 News,2023-12-06T17:41:15Z,542,PT2M39S,https://www.youtube.com/watch?v=0WcpGjWjets,Freezing cold by Thursday morning with storms arriving by the weekend,
12,WFLA News Channel 8,2023-12-08T06:16:35Z,536,PT2M18S,https://www.youtube.com/watch?v=Cwd-ZvzKxrU,"42nd Annual Lakeland Christmas Parade ""Christmas in Candy Land""",
219,WVTM 13 News,2023-12-08T12:41:44Z,535,PT2M42S,https://www.youtube.com/watch?v=fevBzALJCVg,Strong to severe storms possible across Alabama this weekend,
226,WVTM 13 News,2023-12-07T17:55:18Z,525,PT2M49S,https://www.youtube.com/watch?v=HykS5rGIal4,A strong cold front will bring rain and storms to Alabama this weekend,
244,WVTM 13 News,2023-12-06T13:16:02Z,517,PT2M17S,https://www.youtube.com/watch?v=D_Ozi-LJQTU,Impact weather arrives this weekend the the threat for strong storms,
228,WVTM 13 News,2023-12-07T12:09:52Z,511,PT1M26S,https://www.youtube.com/watch?v=co3sKdXh9w8,Dry through Friday with rain and storms arriving over the weekend in Alabama,
239,WVTM 13 News,2023-12-06T22:30:59Z,478,PT2M43S,https://www.youtube.com/watch?v=84Nd2Gp412U,Alabama's weather forecast goes from cold to stormy with a powerful cold front headed in for the ...,
233,WVTM 13 News,2023-12-07T00:55:04Z,464,PT2M31S,https://www.youtube.com/watch?v=kVPWzf9WPLY,A freeze early Thursday and a round of heavy storms heads for Alabama late Saturday into Sunday,
221,WVTM 13 News,2023-12-08T04:42:25Z,462,PT3M15S,https://www.youtube.com/watch?v=ORCJUrSlv6k,Cloudy and mild Friday. Impact Weather Saturday night through Sunday morning as storms roll throu...,
36,WFLA News Channel 8,2023-12-06T23:42:56Z,454,PT2M2S,https://www.youtube.com/watch?v=yPe5jLWd_o8,"Tampa woman helps inspire Project Menorah, movement asking non-Jewish to display menorah in solidari",
126,News 19 WLTX,2023-12-08T04:28:00Z,439,PT19S,https://www.youtube.com/watch?v=5So5Xknq4_w,Police find man shot dead inside Columbia home; investigation underway,
108,News 19 WLTX,2023-12-09T00:50:03Z,433,PT3M33S,https://www.youtube.com/watch?v=8b88PhwF0ns,Heavy rainfall and strong storms possible Sunday,
48,WFLA News Channel 8,2023-12-05T22:30:07Z,429,PT2M19S,https://www.youtube.com/watch?v=8ML3oCQeIL0,St. Pete councilwoman proposes renaming Tampa Bay Rays,
11,WFLA News Channel 8,2023-12-08T06:29:58Z,425,PT1M58S,https://www.youtube.com/watch?v=Wr2MtsmG844,"42nd Annual Lakeland Christmas Parade ""Christmas in Candy Land""",
211,WVTM 13 News,2023-12-08T22:43:13Z,418,PT5M56S,https://www.youtube.com/watch?v=OJepbsTrA9k,Rick Karle departs after 4-year run on WVTM 13 Morning Show,
238,WVTM 13 News,2023-12-06T22:47:24Z,414,PT2M12S,https://www.youtube.com/watch?v=igWwl5ZBBB4,The feeling inside the GOP presidential primary debate spin room,
2,WFLA News Channel 8,2023-12-09T04:28:13Z,394,PT2M54S,https://www.youtube.com/watch?v=mJsBLAQBzgM,Siblings share special moment during USF graduation,
4,WFLA News Channel 8,2023-12-08T23:23:48Z,366,PT3M35S,https://www.youtube.com/watch?v=RU4ZB_Ce_KY,IS THE VA NEARLY PERFECT?,
111,News 19 WLTX,2023-12-09T00:20:53Z,361,PT57S,https://www.youtube.com/watch?v=i_ehDDWKa-o,"Evening winning SC lottery numbers for December 8, 2023",
132,News 19 WLTX,2023-12-08T00:50:09Z,360,PT45S,https://www.youtube.com/watch?v=UKMbxzqHZ8o,"Evening SC lottery winning numbers: December 7, 2023",
128,News 19 WLTX,2023-12-08T04:23:22Z,357,PT1M57S,https://www.youtube.com/watch?v=BvUE5Y-xKgE,South Carolina State students react to the hiring of new football coach,
245,WVTM 13 News,2023-12-06T11:30:51Z,353,PT2M2S,https://www.youtube.com/watch?v=H8XmCd5jaFU,Breezy and chilly across Alabama on Wednesday; rain and storms this weekend,
34,WFLA News Channel 8,2023-12-07T01:15:14Z,341,PT2M18S,https://www.youtube.com/watch?v=FHK8E74gcY8,Citizens CEO on US Senate probe: â€˜Never heard of anyone suggestingâ€™ fed bailout,
237,WVTM 13 News,2023-12-06T22:47:04Z,341,PT1M43S,https://www.youtube.com/watch?v=psAcOKdHX4c,The significance of the GOP presidential primary debate in Tuscaloosa,
9,WFLA News Channel 8,2023-12-08T21:45:05Z,332,PT1M40S,https://www.youtube.com/watch?v=XYsUbx_qWJw,AM: Otro arresto en balacera masiva de Ybor City,
222,WVTM 13 News,2023-12-07T23:44:27Z,329,PT1M,https://www.youtube.com/watch?v=lL992jHrzRg,Jason Simpson walks you through your weekend weather forecast,
138,News 19 WLTX,2023-12-07T23:33:45Z,315,PT1M55S,https://www.youtube.com/watch?v=jgc9IRa_hy4,Benedict's Chennis Berry named new football coach at South Carolina State University,
208,WVTM 13 News,2023-12-08T23:53:00Z,315,PT18S,https://www.youtube.com/watch?v=AUoy4yU11fs,Nauvoo woman charged in attempted robbery at Gardendale jewelry store,
24,WFLA News Channel 8,2023-12-07T16:27:00Z,305,PT2M19S,https://www.youtube.com/watch?v=JRz7uAIorsw,AM: Nardo Wick case,
129,News 19 WLTX,2023-12-08T04:15:32Z,289,PT2M12S,https://www.youtube.com/watch?v=rWXBmIF4Mm4,Concerns raised over cracks in support beam of Harbison Boulevard Bridge,
217,WVTM 13 News,2023-12-08T14:53:58Z,289,PT1M31S,https://www.youtube.com/watch?v=1m_EazcTNEs,Jewelry store owner fires multiple shots defending himself and employees from armed robbery,
30,WFLA News Channel 8,2023-12-07T05:00:42Z,285,PT2M33S,https://www.youtube.com/watch?v=VcRxIoy6OPw,News Channel 8 on The CW Tampa Bay,
130,News 19 WLTX,2023-12-08T01:07:12Z,281,PT1M31S,https://www.youtube.com/watch?v=XHLZcbnepLs,What are atmospheric rivers?,
232,WVTM 13 News,2023-12-07T01:35:27Z,278,PT1M55S,https://www.youtube.com/watch?v=Q-YMxVaVhpU,Judge rules Minor High School band director's case will go to trial,
123,News 19 WLTX,2023-12-08T04:39:01Z,273,PT38S,https://www.youtube.com/watch?v=VdGaHmMGXHc,"Las Vegas shooting suspect was ex-East Carolina professor who applied for a job at UNLV, AP source s",
116,News 19 WLTX,2023-12-08T22:25:56Z,271,PT1M36S,https://www.youtube.com/watch?v=zMzObzaCcm0,Fairfield Central high school SC principal of the year,
165,KNWT TV Channel 8,2023-04-05T23:00:20Z,271,PT12M54S,https://www.youtube.com/watch?v=yhY2_ng_daE,Stancy Bond | Loosely Related S1E7,
3,WFLA News Channel 8,2023-12-09T03:28:39Z,270,PT3M19S,https://www.youtube.com/watch?v=8pdWosrTXos,For Ally,
17,WFLA News Channel 8,2023-12-07T22:39:45Z,264,PT1M44S,https://www.youtube.com/watch?v=t_1ipOF3oX8,facebook emmy,
31,WFLA News Channel 8,2023-12-07T04:57:15Z,260,PT2M32S,https://www.youtube.com/watch?v=-MXd38twNNg,News Channel 8 at 11:00,
100,News 19 WLTX,2023-12-09T17:22:38Z,253,PT3M32S,https://www.youtube.com/watch?v=wrOtp15jrIo,"Beautiful Saturday, but forecast changes Sunday",
136,News 19 WLTX,2023-12-07T23:48:03Z,252,PT1M47S,https://www.youtube.com/watch?v=Wq4NwWMOFt4,Pearl Harbor survivors return to attack site 82 years later,
1,WFLA News Channel 8,2023-12-09T13:37:19Z,252,PT2M28S,https://www.youtube.com/watch?v=_pe18B-dEbU,'Heartbreaking': Hundreds walk in hope of a cure for Alzheimer's,
198,KNWT TV Channel 8,2023-02-13T15:00:04Z,251,PT23M,https://www.youtube.com/watch?v=36zKhmoKHZE,All Things Interviews & Sports | Channel 8 News S14E2,
29,WFLA News Channel 8,2023-12-07T12:00:30Z,247,PT3M9S,https://www.youtube.com/watch?v=SeisivPAPgg,A holly jolly party to help needy kids and seniors,
124,News 19 WLTX,2023-12-08T04:36:12Z,237,PT29S,https://www.youtube.com/watch?v=TKkVK3iQ21s,Hunter Biden indicted on 9 new charges,
145,News 19 WLTX,2023-12-07T22:41:38Z,236,PT36S,https://www.youtube.com/watch?v=7G7DjmGF-3s,Recall of cinnamon applesauce potentially linked to dozens of cases of lead poisoning in children,
216,WVTM 13 News,2023-12-08T14:56:09Z,234,PT25S,https://www.youtube.com/watch?v=GrgjWQ8FlZU,Help needed to solve shooting deaths of two Birmingham men,
214,WVTM 13 News,2023-12-08T15:35:13Z,232,PT4M21S,https://www.youtube.com/watch?v=1MmVqhIWmWU,Pelham police officer climbs back 5 months after being hit on interstate,
109,News 19 WLTX,2023-12-09T00:26:57Z,229,PT1M57S,https://www.youtube.com/watch?v=QJo2SuXTEzE,Deputies kill Newberry man,
119,News 19 WLTX,2023-12-08T16:14:38Z,229,PT51S,https://www.youtube.com/watch?v=kzKWSOONGYU,"Sheriff: Newbery Deputies shoot, kill suspect who'd been trying to break into home, fired shots",
210,WVTM 13 News,2023-12-08T23:12:02Z,227,PT55S,https://www.youtube.com/watch?v=UFeI1dc7h3w,Remembering the big Alabama snowstorm in December 2017,
47,WFLA News Channel 8,2023-12-05T22:57:07Z,215,PT1M57S,https://www.youtube.com/watch?v=J69MAGOzAPo,'This is the best day ever' the Lightning shop with 20 kids of Metropolitan Ministries,
248,WVTM 13 News,2023-12-06T01:28:44Z,214,PT51S,https://www.youtube.com/watch?v=Rdr_bCxegNA,Consumer warning: Lithium battery dangers ahead of Christmas,
167,KNWT TV Channel 8,2023-04-03T14:00:21Z,211,PT26M1S,https://www.youtube.com/watch?v=eFJo3p3204g,"Mental Health, a Free Car, & Week-Long Events | Channel 8 News S14E8",
39,WFLA News Channel 8,2023-12-06T22:01:24Z,209,PT3M47S,https://www.youtube.com/watch?v=wbC1rrzR3eM,"Won, not done: Bucified Bert says the Bucs-Falcons matchup will be a 'title fight' for Tampa Bay",
187,KNWT TV Channel 8,2023-02-24T18:00:07Z,203,PT2M58S,https://www.youtube.com/watch?v=9W5MV8dI2HU,Meet KNWT: Kirsten Stokes | Creative Services,
37,WFLA News Channel 8,2023-12-06T22:54:37Z,200,PT2M21S,https://www.youtube.com/watch?v=KFkd1a7FeLM,Traffic signal months away from installation at Lakeland intersection where teen died,
120,News 19 WLTX,2023-12-08T14:15:07Z,199,PT1M20S,https://www.youtube.com/watch?v=YErTS-Sj4gE,Chennis Berry and Buddy Pough,
199,KNWT TV Channel 8,2023-02-10T18:00:05Z,198,PT4M35S,https://www.youtube.com/watch?v=7P_A8jf8SdE,Meet KNWT: Garrett Bevans | Creative Services,
101,News 19 WLTX,2023-12-09T04:36:29Z,197,PT2M21S,https://www.youtube.com/watch?v=qhIjjNGgxAg,SCDOT confirms Cedar Road Bridge is projected to be complete by the end of 2024,
148,News 19 WLTX,2023-12-07T22:24:45Z,196,PT30S,https://www.youtube.com/watch?v=5Wc1s-3IF_A,"Midlands woman wins $30,000 from South Carolina Education Lottery",
121,News 19 WLTX,2023-12-08T04:49:24Z,195,PT1M,https://www.youtube.com/watch?v=nI2hLTv0u6s,Pearl Harbor survivors return to honor those who perished 82 years ago,
131,News 19 WLTX,2023-12-08T01:03:04Z,181,PT7M16S,https://www.youtube.com/watch?v=O8chiOd04_o,"The Insiders: December 7, 2023",
25,WFLA News Channel 8,2023-12-07T16:23:01Z,181,PT1M58S,https://www.youtube.com/watch?v=Kukl1PAiY1Y,AM: Ziegler case,
207,WVTM 13 News,2023-12-08T23:59:51Z,175,PT21S,https://www.youtube.com/watch?v=14uGW1D0Bac,Sheriff's deputy in Jefferson County indicted in April shooting,
218,WVTM 13 News,2023-12-08T14:54:19Z,173,PT20S,https://www.youtube.com/watch?v=6pd7EpspR7w,Serial's 'S-Town' dies after standoff with Woodstock police,
104,News 19 WLTX,2023-12-09T04:24:55Z,170,PT1M1S,https://www.youtube.com/watch?v=cK7mVqvA1gY,"Biden thanks police for acting during UNLV shooting, renews calls for gun control measures",
192,KNWT TV Channel 8,2023-02-20T15:00:00Z,165,PT23M1S,https://www.youtube.com/watch?v=0eBlW3wgUpY,"Presidents, Chiefs, & Ambassadors | Channel 8 News S14E3",
234,WVTM 13 News,2023-12-07T00:21:30Z,164,PT17S,https://www.youtube.com/watch?v=3XwjycHvI0Y,The issues GOP presidential hopefuls could discuss during the fourth debate in Alabama,
112,News 19 WLTX,2023-12-08T23:58:18Z,163,PT3M2S,https://www.youtube.com/watch?v=I2vCjFQjCi0,SC lawmaker thinks churches building affordable housing on property they own,
107,News 19 WLTX,2023-12-09T04:08:48Z,158,PT2M21S,https://www.youtube.com/watch?v=DplWEZwtv-8,SCDOT confirms Cedar Road Bridge is projected to be complete by the end of 2024,
137,News 19 WLTX,2023-12-07T23:44:18Z,158,PT1M42S,https://www.youtube.com/watch?v=Yx4Hqnab8Zg,Remains of soldier killed during World War II reinterred in North Carolina,
110,News 19 WLTX,2023-12-09T00:26:36Z,155,PT27S,https://www.youtube.com/watch?v=fdf-GZMb3tw,Missing Orangeburg teen,
156,KNWT TV Channel 8,2023-04-25T23:00:01Z,153,PT31M1S,https://www.youtube.com/watch?v=4UamXOIjwNI,Farewell Friends | Gentoo S9E11,
139,News 19 WLTX,2023-12-07T23:28:37Z,149,PT46S,https://www.youtube.com/watch?v=TVsaCg6vrv4,"SLED Chief Mark Keel 'retiring' for month to receive benefits, continue working",
118,News 19 WLTX,2023-12-08T22:21:28Z,144,PT24S,https://www.youtube.com/watch?v=-Fl4uLDOFyM,Missing vulnerable adult in Columbia,
26,WFLA News Channel 8,2023-12-07T16:08:52Z,136,PT1M17S,https://www.youtube.com/watch?v=c0w69oJ5AjE,AM: Nuevo nombre para Tampa Bay Rays?,
103,News 19 WLTX,2023-12-09T04:27:57Z,133,PT31S,https://www.youtube.com/watch?v=jSRGKlo2EKg,Republicans pressure Hunter Biden to testify next week,
184,KNWT TV Channel 8,2023-02-27T15:00:17Z,131,PT20M1S,https://www.youtube.com/watch?v=S_HqzwZN0wE,"Blood Drives, Biases, & Basketball | Channel 8 News S14E4",
27,WFLA News Channel 8,2023-12-07T16:01:40Z,131,PT2M8S,https://www.youtube.com/watch?v=IV6BifxzBfc,AM: Mujer de 65 anos atacada en parqueadero de Publix,
181,KNWT TV Channel 8,2023-03-03T19:00:05Z,129,PT2M35S,https://www.youtube.com/watch?v=A20jP7wnUdU,Meet KNWT: Skyler Stamps | Creative Services,
209,WVTM 13 News,2023-12-08T23:13:03Z,124,PT41S,https://www.youtube.com/watch?v=H_OHju7jYHQ,Snow falls in Central Alabama in 2017,
105,News 19 WLTX,2023-12-09T04:19:31Z,119,PT2M15S,https://www.youtube.com/watch?v=5Wya5SwGJBM,Thank you for helping us stuff a bus for local families in need,
171,KNWT TV Channel 8,2023-03-28T23:00:01Z,119,PT30M1S,https://www.youtube.com/watch?v=-mMHQv_apYI,Welcome to..? | Gentoo S9E7,
189,KNWT TV Channel 8,2023-02-23T00:00:16Z,115,PT19M10S,https://www.youtube.com/watch?v=d4vbTQD7Wp4,Todd Weddle | Loosely Related S1E3,
185,KNWT TV Channel 8,2023-02-25T21:54:50Z,111,PT18M38S,https://www.youtube.com/watch?v=POC5XiKCaD8,Dr. Lance Tatum Interview,
133,News 19 WLTX,2023-12-08T00:09:21Z,110,PT1M39S,https://www.youtube.com/watch?v=640ML92VPyc,"No, drinking alcohol doesnâ€™t help you stay warm in cold weather",
161,KNWT TV Channel 8,2023-04-13T23:00:05Z,110,PT25M1S,https://www.youtube.com/watch?v=A_C6KLroUt0,Court Central | Nerd Central S12E9,
157,KNWT TV Channel 8,2023-04-24T14:00:31Z,109,PT24M1S,https://www.youtube.com/watch?v=dvlAusfxK30,Signing Off | Channel 8 News S14E11,
162,KNWT TV Channel 8,2023-04-12T23:00:18Z,105,PT11M8S,https://www.youtube.com/watch?v=sH5bDrqXrPk,Riley Whittington | Loosely Related S1E8,
113,News 19 WLTX,2023-12-08T23:49:09Z,103,PT1M33S,https://www.youtube.com/watch?v=4CzmJyxv_E8,Christmas parade at Prisma Children's Hospital,
168,KNWT TV Channel 8,2023-04-01T17:00:25Z,103,PT3M40S,https://www.youtube.com/watch?v=upQNp8Ozkrk,Meet KNWT: Special Guest | Creative Services,
175,KNWT TV Channel 8,2023-03-20T14:00:26Z,103,PT20M1S,https://www.youtube.com/watch?v=xDXbv2gf7g4,It's All Things Green | Channel 8 News S14E6,
190,KNWT TV Channel 8,2023-02-22T00:00:05Z,103,PT28M1S,https://www.youtube.com/watch?v=9reepVGlXK0,Enemies Galore! | Gentoo S9E3,
183,KNWT TV Channel 8,2023-03-01T00:00:27Z,102,PT26M1S,https://www.youtube.com/watch?v=byt0g_fVElo,Crime Central | Gentoo S9E4,
163,KNWT TV Channel 8,2023-04-11T23:00:11Z,101,PT30M1S,https://www.youtube.com/watch?v=O1cTZfnsXFY,Up the Retention! | Gentoo S9E9,
172,KNWT TV Channel 8,2023-03-27T14:00:24Z,101,PT13M1S,https://www.youtube.com/watch?v=S0l0aLwptCQ,"Women's History Month, Softball & Music | Channel 8 News S14E7",
188,KNWT TV Channel 8,2023-02-24T00:00:17Z,99,PT27M6S,https://www.youtube.com/watch?v=YNAYAZN3Ros,"Hey look, it's THAT GUY! | Nerd Central S12E3",
196,KNWT TV Channel 8,2023-02-15T02:00:15Z,99,PT24M1S,https://www.youtube.com/watch?v=nWKHwLGml5c,Happy Valentines From Gentoo to You! | Gentoo S9E2,
205,WVTM 13 News,2023-12-09T03:34:02Z,99,PT1M47S,https://www.youtube.com/watch?v=OwxLpeYHF88,Gardendale First Baptist's Drive Thru Nativity,
173,KNWT TV Channel 8,2023-03-23T23:00:32Z,97,PT20M1S,https://www.youtube.com/watch?v=sSr5MBrTaIU,Let's Get Funky | Nerd Central S12E6,
195,KNWT TV Channel 8,2023-02-16T00:00:08Z,97,PT15M49S,https://www.youtube.com/watch?v=D6pQU_BEFIs,Alex Kirt | Loosely Related S1E2,
106,News 19 WLTX,2023-12-09T04:13:50Z,96,PT2M25S,https://www.youtube.com/watch?v=KAUnSkW0JUY,Why a new Dominion project might mean you'll have less parking possibilities at Lake Murray,
